#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2021,1,2,5,20,999,2.3,3.3,99,99,99,999,1022,14.5,999,11.2,99,99
2021,1,2,5,30,999,2.1,3.3,99,99,99,999,1022.2,14.6,999,11.3,99,99
2021,1,2,5,40,999,2.7,3.8,2.12,16,10.09,280,1022.4,14.7,999,11.6,99,99
2021,1,2,5,50,999,2.7,3.8,99,99,99,999,1022.6,14.6,999,11.8,99,99
2021,1,2,6,0,999,2.5,3.5,99,99,99,999,1022.7,14.6,999,11.9,99,99
2021,1,2,6,10,999,1.9,3.5,99,99,99,999,1022.7,14.4,999,11.7,99,99
2021,1,2,6,20,999,1.4,2.3,99,99,99,999,1022.6,14.3,999,11.5,99,99
2021,1,2,6,30,999,1.6,2.4,99,99,99,999,1022.7,14.2,999,11.1,99,99
2021,1,2,6,40,999,1.8,2.7,1.97,12.9,10.26,273,1022.7,14.3,999,10.8,99,99
2021,1,2,6,50,999,1.3,2,99,99,99,999,1022.6,14.4,999,10.9,99,99
2021,1,2,7,0,999,0.9,1.8,99,99,99,999,1022.7,14.4,999,10.8,99,99
2021,1,2,7,10,999,0.5,1.1,99,99,99,999,1022.8,14.3,999,10.7,99,99
2021,1,2,7,20,999,1.6,2.5,99,99,99,999,1022.7,14.3,999,10.7,99,99
2021,1,2,7,30,999,2,3,99,99,99,999,1022.8,14.4,999,10.9,99,99
2021,1,2,7,40,999,2.5,3.2,1.99,14.81,10.21,266,1022.8,14.4,999,11.1,99,99
2021,1,2,7,50,999,2.8,3.9,99,99,99,999,1022.8,14.4,999,11.2,99,99
2021,1,2,8,0,999,2.8,3.8,99,99,99,999,1022.8,14.4,999,11.4,99,99
2021,1,2,8,10,999,2.6,3.5,99,99,99,999,1022.9,14.3,999,11.3,99,99
2021,1,2,8,20,999,3,4,99,99,99,999,1023,14.3,999,11.4,99,99
2021,1,2,8,30,999,3.5,4.3,99,99,99,999,1023.1,14.4,999,11.5,99,99
2021,1,2,8,40,999,3,3.8,1.74,14.81,9.83,283,1023.2,14.3,999,11.3,99,99
2021,1,2,8,50,999,2.3,3.4,99,99,99,999,1023.2,14.3,999,11.2,99,99
2021,1,2,9,0,999,2,2.9,99,99,99,999,1023.2,14.3,999,11.2,99,99
2021,1,2,9,10,999,1.6,2.5,99,99,99,999,1023.2,14.3,999,11.3,99,99
2021,1,2,9,20,999,1.5,2.9,99,99,99,999,1023.3,14.2,999,11.3,99,99
2021,1,2,9,30,999,0.7,1.7,99,99,99,999,1023.4,14.3,999,11.4,99,99
2021,1,2,9,40,999,0.7,2,1.93,14.81,9.92,280,1023.6,14.3,999,11.5,99,99
2021,1,2,9,50,999,0.7,1.5,99,99,99,999,1023.3,14.1,999,11.3,99,99
2021,1,2,10,0,999,0.4,1.2,99,99,99,999,1023.3,14,999,11.2,99,99
2021,1,2,10,10,999,0.2,0.9,99,99,99,999,1023.3,14.2,999,11.5,99,99
2021,1,2,10,20,999,0.6,1.3,99,99,99,999,1023.3,14.2,999,11.5,99,99
2021,1,2,10,30,999,0.9,1.9,99,99,99,999,1023.3,14.1,999,11.5,99,99
2021,1,2,10,40,999,0.6,1.4,1.91,14.81,9.99,282,1023.3,13.9,999,11.2,99,99
2021,1,2,10,50,999,0.9,1.8,99,99,99,999,1023.1,14.2,999,11.6,99,99
2021,1,2,11,0,999,0.7,1.8,99,99,99,999,1023.1,14.3,999,11.9,99,99
2021,1,2,11,10,999,1.2,2.2,99,99,99,999,1023.2,14.2,999,11.9,99,99
2021,1,2,11,20,999,1.1,2,99,99,99,999,1023.1,14.1,999,11.9,99,99
2021,1,2,11,30,999,1.3,2.4,99,99,99,999,1023,14.2,999,12.1,99,99
2021,1,2,11,40,999,1.4,2.3,1.82,16,9.6,277,1022.9,14.1,999,12.1,99,99
2021,1,2,11,50,999,1.4,2.3,99,99,99,999,1022.8,14,999,12,99,99
2021,1,2,12,0,999,1.3,2.3,99,99,99,999,1022.7,14,999,12,99,99
2021,1,2,12,10,999,0.8,1.5,99,99,99,999,1022.4,13.9,999,11.9,99,99
2021,1,2,12,20,999,1,1.5,99,99,99,999,1022.4,13.9,999,11.9,99,99
2021,1,2,12,30,999,0.9,1.6,99,99,99,999,1022.8,13.8,999,11.9,99,99
2021,1,2,12,40,999,0.9,1.8,2.1,14.81,10.33,281,1022.6,13.9,999,12,99,99
2021,1,2,12,50,999,0.5,1.4,99,99,99,999,1023.1,13.8,999,11.9,99,99
2021,1,2,13,0,999,1.2,2.2,99,99,99,999,1023.5,13.9,999,12.1,99,99
2021,1,2,13,10,999,1.3,2.2,99,99,99,999,1023.7,13.9,999,12.1,99,99
2021,1,2,13,20,999,1.1,2.2,99,99,99,999,1023.7,13.9,999,12.1,99,99
2021,1,2,13,30,999,1.2,2.1,99,99,99,999,1023.8,13.9,999,12.1,99,99
2021,1,2,13,40,999,1.4,2.5,1.94,16,10.13,276,1024,13.9,999,12.2,99,99
2021,1,2,13,50,999,1.3,2.2,99,99,99,999,1023.9,13.9,999,12.2,99,99
2021,1,2,14,0,999,0.9,2.5,99,99,99,999,1024.2,14,999,12.3,99,99
2021,1,2,14,10,999,1.9,2.9,99,99,99,999,1024.4,14,999,12.3,99,99
2021,1,2,14,20,999,2,3.3,99,99,99,999,1024.5,13.9,999,12.1,99,99
2021,1,2,14,30,999,2.1,3.3,99,99,99,999,1024.6,13.9,999,12,99,99
2021,1,2,14,40,999,2.6,3.7,1.99,14.81,10.53,277,1024.8,13.9,999,11.9,99,99
2021,1,2,14,50,999,3,3.9,99,99,99,999,1025,14,999,11.9,99,99
2021,1,2,15,0,999,3.2,4.7,99,99,99,999,1025.1,14,999,11.8,99,99
2021,1,2,15,10,999,2.9,4.1,99,99,99,999,1025.1,14.1,999,11.9,99,99
2021,1,2,15,20,999,3.4,4.4,99,99,99,999,1025.2,14,999,11.7,99,99
2021,1,2,15,30,999,3.3,4.5,99,99,99,999,1025.1,14,999,11.6,99,99
2021,1,2,15,40,999,3.1,4.2,1.77,16,9.68,267,1025.4,14.1,999,11.8,99,99
2021,1,2,15,50,999,3.5,4.5,99,99,99,999,1025.3,14.1,999,11.9,99,99
2021,1,2,16,0,999,2.8,4,99,99,99,999,1025,14.1,999,11.9,99,99
2021,1,2,16,10,999,3.3,4.4,99,99,99,999,1025.1,14.1,999,11.9,99,99
2021,1,2,16,20,999,3.6,4.8,99,99,99,999,1025.2,14,999,11.6,99,99
2021,1,2,16,30,999,3.4,4.4,99,99,99,999,1025.1,14.1,999,11.6,99,99
2021,1,2,16,40,999,3,4.3,1.93,14.81,10.19,274,1024.9,14.1,999,11.6,99,99
2021,1,2,16,50,999,2.5,3.5,99,99,99,999,1025.1,14.1,999,11.7,99,99
2021,1,2,17,0,999,2.6,4,99,99,99,999,1025.6,14.1,999,11.8,99,99
2021,1,2,17,10,999,3.1,4.5,99,99,99,999,1025.7,14.1,999,11.9,99,99
