Beach_ID,Beach Name,Latitude,Longitude,Sunrise,Sunset,Weather Description,Temperature,Water Temperature,Cloud Cover,Wind Speed,Wave Height
78,Pelican Point Beach,37.42830898,-122.4397991,06:51 AM,04:58 PM,Clear,51,51,0,8,3.6
79,Cowell Ranch Beach,37.42101853,-122.4351767,06:51 AM,04:58 PM,Clear,51,51,0,8,3.6
80,Martins Beach,37.37371681,-122.4085306,06:51 AM,04:58 PM,Clear,51,51,0,8,3.6
81,San Gregorio Private Beach,37.3365993,-122.4013304,06:51 AM,04:58 PM,Clear,51,51,0,8,3.6
82,San Gregorio State Beach,37.32390506,-122.402532,06:51 AM,04:58 PM,Clear,51,51,0,8,3.6
83,Pomponio State Beach,37.29312103,-122.4069395,06:49 AM,04:59 PM,Clear,52,53,0,10,3.9
84,Pescadero State Beach,37.26296837,-122.4136772,06:49 AM,04:59 PM,Clear,52,53,0,10,3.9
85,Pebble Beach,36.57242701,-121.9477807,06:46 AM,04:58 PM,Clear,54,52,0,12,4.6
86,Bean Hollow State Beach,37.22636846,-122.409955,06:49 AM,04:59 PM,Clear,52,53,0,10,3.9
87,Pigeon Point Beach,37.18281646,-122.3849497,06:49 AM,04:59 PM,Clear,52,53,0,10,3.9
88,Año Nuevo State Park,37.11362641,-122.3299457,06:49 AM,04:59 PM,Clear,52,53,0,10,3.9
89,Gazos Creek State Beach,37.1683354,-122.3626122,06:49 AM,04:59 PM,Clear,52,53,0,10,3.9
90,Scaroni Road beach,36.97819903,-122.1371627,06:49 AM,04:58 PM,Clear,53,52,0,9,3.6
91,Natural Bridges State Beach,36.95043481,-122.0573468,06:48 AM,04:58 PM,Clear,53,52,0,9,3.6
92,Lighthouse Field State Beach,36.95189034,-122.0285827,06:48 AM,04:58 PM,Clear,53,52,0,9,3.6
93,Santa Cruz Beach,36.96440579,-122.0177257,06:48 AM,04:58 PM,Clear,53,52,0,9,3.6
94,Twin Lakes State Beach,36.96234726,-121.9978356,06:48 AM,04:58 PM,Clear,53,52,0,9,3.6
95,Capitola State Beach,36.97124,-121.951902,06:48 AM,04:58 PM,Clear,53,52,0,9,3.6
96,Seacliff State Beach,36.97197984,-121.91399,06:47 AM,04:57 PM,Clear,49,52,0,8,2.0
97,Manresa State Beach,36.93232569,-121.862878,06:47 AM,04:57 PM,Clear,49,52,0,8,2.0
98,New Brighton State Beach,36.97873139,-121.9383879,06:48 AM,04:58 PM,Clear,53,52,0,9,3.6
99,Sunset State Beach,36.88700143,-121.8326324,06:47 AM,04:57 PM,Clear,49,52,0,8,2.0
