,#YY,MM,DD,hh,mm,WSP,GST,WVHT,DPD,APD,MWD,PRES,ATMP,DEWP,Wave_Size,Wind_Speed
862,2020,1,6,23,40,4.7,5.8,1.5,11.43,7.73,275,1022.1,16.9,12.0,Small (<2 ft),Moderate (3-19 mph)
868,2020,1,7,0,40,6.2,7.2,1.68,10.81,7.58,275,1021.9,17.5,10.4,Small (<2 ft),Moderate (3-19 mph)
874,2020,1,7,1,40,5.7,6.7,1.49,10.81,7.31,279,1021.8,17.8,9.2,Small (<2 ft),Moderate (3-19 mph)
880,2020,1,7,2,40,5.5,6.8,1.51,11.43,7.19,284,1021.8,18.1,9.5,Small (<2 ft),Moderate (3-19 mph)
886,2020,1,7,3,40,5.5,6.6,1.56,10.81,7.41,279,1021.7,18.0,10.4,Small (<2 ft),Moderate (3-19 mph)
892,2020,1,7,4,40,5.2,6.3,1.44,10.81,6.91,281,1022.2,17.8,11.0,Small (<2 ft),Moderate (3-19 mph)
898,2020,1,7,5,40,3.8,4.8,1.47,10.81,7.25,274,1022.3,17.0,12.7,Small (<2 ft),Moderate (3-19 mph)
904,2020,1,7,6,40,3.9,4.8,1.4,11.43,7.31,274,1022.1,16.7,13.0,Small (<2 ft),Moderate (3-19 mph)
910,2020,1,7,7,40,4.3,5.0,1.41,12.12,7.57,277,1021.4,16.5,13.1,Small (<2 ft),Moderate (3-19 mph)
916,2020,1,7,8,40,2.9,3.7,1.39,12.12,7.54,273,1021.4,16.6,12.7,Small (<2 ft),Ideal(<3 mph)
922,2020,1,7,9,40,3.0,3.9,1.23,12.9,7.36,273,1021.1,16.4,12.9,Small (<2 ft),Ideal(<3 mph)
928,2020,1,7,10,40,5.1,6.1,1.49,12.9,8.2,276,1020.5,16.5,11.5,Small (<2 ft),Moderate (3-19 mph)
934,2020,1,7,11,40,5.5,6.5,1.47,12.12,7.8,283,1020.3,16.4,10.6,Small (<2 ft),Moderate (3-19 mph)
940,2020,1,7,12,40,4.2,5.4,1.43,12.9,7.96,279,1020.0,16.1,12.2,Small (<2 ft),Moderate (3-19 mph)
946,2020,1,7,13,40,4.1,5.0,1.56,12.12,8.62,278,1019.8,16.4,12.0,Small (<2 ft),Moderate (3-19 mph)
952,2020,1,7,14,40,4.1,5.1,1.44,12.12,8.26,280,1019.7,16.0,12.7,Small (<2 ft),Moderate (3-19 mph)
958,2020,1,7,15,40,3.9,5.1,1.34,12.12,8.03,280,1019.9,16.1,12.6,Small (<2 ft),Moderate (3-19 mph)
964,2020,1,7,16,40,3.7,4.6,1.43,11.43,8.01,279,1020.4,16.6,11.3,Small (<2 ft),Moderate (3-19 mph)
970,2020,1,7,17,40,4.0,4.8,1.62,12.12,8.21,285,1020.3,16.5,11.9,Small (<2 ft),Moderate (3-19 mph)
976,2020,1,7,18,40,2.2,2.7,1.64,12.12,8.28,277,1020.1,16.7,12.0,Small (<2 ft),Ideal(<3 mph)
982,2020,1,7,19,40,2.3,3.0,1.61,12.12,8.3,270,1019.0,16.7,12.2,Small (<2 ft),Ideal(<3 mph)
988,2020,1,7,20,40,2.2,2.7,1.47,11.43,8.06,261,1018.1,16.7,12.3,Small (<2 ft),Ideal(<3 mph)
994,2020,1,7,21,40,1.4,1.9,1.54,12.9,8.62,263,1017.4,16.6,12.0,Small (<2 ft),Ideal(<3 mph)
1000,2020,1,7,22,40,0.5,1.7,1.58,12.12,8.79,275,1017.3,16.9,11.9,Small (<2 ft),Ideal(<3 mph)
1006,2020,1,7,23,40,0.4,0.9,1.62,12.12,8.8,267,1017.2,17.0,12.8,Small (<2 ft),Ideal(<3 mph)
1012,2020,1,8,0,40,2.0,2.9,1.58,12.12,8.84,274,1017.3,16.4,12.9,Small (<2 ft),Ideal(<3 mph)
1018,2020,1,8,1,40,0.6,1.9,1.62,12.9,8.85,278,1017.4,15.6,13.1,Small (<2 ft),Ideal(<3 mph)
1024,2020,1,8,2,40,1.0,2.0,1.49,12.12,8.47,273,1017.4,15.6,12.6,Small (<2 ft),Ideal(<3 mph)
1030,2020,1,8,3,40,1.0,1.8,1.72,12.9,9.09,270,1018.0,15.5,12.4,Small (<2 ft),Ideal(<3 mph)
1036,2020,1,8,4,40,2.5,3.8,1.38,12.12,7.99,269,1018.3,13.5,12.7,Small (<2 ft),Ideal(<3 mph)
1042,2020,1,8,5,40,0.9,2.0,1.43,12.12,7.85,272,1018.4,12.7,12.1,Small (<2 ft),Ideal(<3 mph)
1048,2020,1,8,6,40,1.2,2.3,1.39,12.9,7.78,268,1018.1,12.5,11.9,Small (<2 ft),Ideal(<3 mph)
1054,2020,1,8,7,40,0.7,2.2,1.22,11.43,7.37,266,1017.5,13.0,12.5,Small (<2 ft),Ideal(<3 mph)
1060,2020,1,8,8,40,9.0,99.0,1.25,11.43,7.26,267,9999.0,999.0,999.0,Small (<2 ft),Moderate (3-19 mph)
1066,2020,1,8,9,40,6.4,7.7,1.18,12.9,6.69,251,1017.3,14.8,12.7,Small (<2 ft),Moderate (3-19 mph)
1072,2020,1,8,10,40,6.9,8.9,1.28,12.12,6.95,258,1017.2,14.7,11.9,Small (<2 ft),Moderate (3-19 mph)
1078,2020,1,8,11,40,7.1,8.6,1.24,12.12,6.06,260,1016.7,14.2,11.6,Small (<2 ft),Moderate (3-19 mph)
1084,2020,1,8,12,40,7.5,9.0,1.24,12.12,5.58,271,1016.1,14.4,11.6,Small (<2 ft),Moderate (3-19 mph)
1090,2020,1,8,13,40,7.6,9.4,1.39,12.12,5.39,264,1015.9,14.0,10.8,Small (<2 ft),Moderate (3-19 mph)
1096,2020,1,8,14,40,7.3,8.8,1.55,11.43,5.5,273,1016.2,14.0,11.0,Small (<2 ft),Moderate (3-19 mph)
1102,2020,1,8,15,40,7.0,8.7,1.83,6.67,5.95,278,1016.5,14.0,10.4,Small (<2 ft),Moderate (3-19 mph)
1108,2020,1,8,16,40,7.0,9.7,2.19,8.33,6.52,278,1017.0,14.0,10.6,Ideal (3-9 ft),Moderate (3-19 mph)
1114,2020,1,8,17,40,7.9,10.5,2.33,8.33,6.51,277,1017.5,14.2,10.6,Ideal (3-9 ft),Moderate (3-19 mph)
1120,2020,1,8,18,40,9.0,11.3,2.14,7.14,6.06,279,1017.5,14.4,10.8,Ideal (3-9 ft),Moderate (3-19 mph)
1126,2020,1,8,19,40,8.7,11.2,2.36,8.33,6.09,276,1017.0,14.5,10.6,Ideal (3-9 ft),Moderate (3-19 mph)
1132,2020,1,8,20,40,9.0,10.8,2.23,8.33,6.12,279,1016.4,14.5,10.1,Ideal (3-9 ft),Moderate (3-19 mph)
1138,2020,1,8,21,40,8.0,9.8,2.33,8.33,6.1,278,1015.2,14.4,10.4,Ideal (3-9 ft),Moderate (3-19 mph)
1144,2020,1,8,22,40,8.7,10.7,2.29,6.67,5.98,272,1014.8,14.4,10.2,Ideal (3-9 ft),Moderate (3-19 mph)
1150,2020,1,8,23,40,8.0,10.2,2.66,8.33,6.63,274,1015.1,14.4,9.9,Ideal (3-9 ft),Moderate (3-19 mph)
1156,2020,1,9,0,40,8.1,10.5,2.41,9.09,6.42,273,1015.2,14.4,10.4,Ideal (3-9 ft),Moderate (3-19 mph)
1162,2020,1,9,1,40,8.6,10.8,2.22,8.33,6.23,274,1015.7,14.4,10.0,Ideal (3-9 ft),Moderate (3-19 mph)
1168,2020,1,9,2,40,7.5,9.5,2.09,7.69,6.24,272,1015.9,14.5,9.9,Ideal (3-9 ft),Moderate (3-19 mph)
