Beach_ID,Beach_Name,Latitude,Longitude,Sunrise,Sunset,Weather_Description,Temperature,Water_Temperature,Cloud_Cover,Wind_Speed,Wave_Height
168,Redondo Beach State Park,33.8702527,-118.4056974,07:14 AM,06:00 PM,Cloudy,62,66,80,12,2.3
169,RAT Beach,33.80419646,-118.3947961,07:14 AM,06:00 PM,Cloudy,62,66,80,12,2.3
170,Torrance County Beach,33.81375651,-118.3917316,07:14 AM,06:00 PM,Cloudy,62,66,80,12,2.3
171,Royal Palms State Beach,33.72059658,-118.3280213,07:13 AM,06:00 PM,Cloudy,62,66,80,12,2.3
172,Cabrillo Beach Park,33.71624105,-118.3182366,07:13 AM,06:00 PM,Cloudy,62,66,80,12,2.3
173,Los Alamitos Bay (Long Beach),33.74966979,-118.1154674,07:13 AM,05:59 PM,Overcast,62,67,92,12,2.6
174,Mother's Beach (Long Beach),33.75832864,-118.1198392,07:13 AM,05:59 PM,Overcast,62,67,92,12,2.6
175,Seal Beach,33.73288587,-118.0944039,07:13 AM,05:59 PM,Overcast,62,67,91,9,2.3
176,Surfside Beach,28.95797697,-95.27664486,07:36 AM,06:34 PM,Patchy rain possible,74,69,73,16,3.0
177,Sunset Beach,33.87633524,-78.49002885,07:35 AM,06:19 PM,Partly cloudy,62,65,5,16,2.6
178,Bolsa Chica State Beach,33.69949298,-118.0506696,07:13 AM,05:59 PM,Overcast,62,67,91,9,2.3
179,Huntington City Beach,33.6556063,-118.0027792,07:13 AM,05:59 PM,Overcast,62,67,91,9,2.3
180,Huntington State Beach,33.63838381,-117.9741486,07:12 AM,05:58 PM,Patchy rain possible,62,67,91,9,2.3
181,Santa Ana River County Beach,33.62579683,-117.9515567,07:12 AM,05:58 PM,Patchy rain possible,62,67,91,9,2.3
182,Newport Municipal Beach,33.60645254,-117.9260873,07:12 AM,05:58 PM,Patchy rain possible,62,67,91,9,2.3
183,Balboa Beach,33.60304736,-117.9113882,07:12 AM,05:58 PM,Patchy rain possible,62,67,91,9,2.3
184,West Jetty View Park,33.595343,-117.8830937,07:12 AM,05:58 PM,Patchy rain possible,62,67,91,9,2.3
185,Bayside Drive County Beach,33.60680874,-117.8844751,07:12 AM,05:58 PM,Patchy rain possible,62,67,91,9,2.3
186,China Cove Beach,33.59829167,-117.880188,07:12 AM,05:58 PM,Patchy rain possible,62,67,91,9,2.3
187,Rocky Point,31.3232581,-113.5529865,06:51 AM,05:45 PM,Partly cloudy,73,76,27,15,3.6
188,Corona del Mar State Beach,33.59308086,-117.8765156,07:12 AM,05:58 PM,Patchy rain possible,62,67,91,9,2.3
189,Little Corona del Mar Beach,33.59007934,-117.8689934,07:12 AM,05:58 PM,Patchy rain possible,62,67,91,9,2.3
190,Crystal Cove State Park,33.57566596,-117.8412706,07:12 AM,05:58 PM,Patchy rain possible,62,67,91,9,2.3
191,Crescent Bay Point Park,33.54707317,-117.8038219,07:12 AM,05:58 PM,Patchy rain possible,62,67,91,9,2.3
192,Shaw's Cove,33.54560671,-117.7982644,07:12 AM,05:58 PM,Patchy rain possible,62,67,91,9,2.3
193,Diver's Cove,33.54480194,-117.7945844,07:12 AM,05:58 PM,Patchy rain possible,62,67,91,9,2.3
194,Rockpile Beach,33.543094,-117.7896491,07:12 AM,05:58 PM,Patchy rain possible,62,67,91,9,2.3
195,Picnic Beach,33.54364841,-117.7927497,07:12 AM,05:58 PM,Patchy rain possible,62,67,91,9,2.3
